#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
50,"How","The Neighbourhood",152,6A,75,2019-05-22,05:14,57,"","I Love You.",2013-04-22,38,0,69,6,0,0,-6,G Minor,4,6mAuw7R6u4vlNneuBgnC8K,USSM11300888
51,"Afraid","The Neighbourhood",84,11A,70,2019-05-22,04:11,80,"","I Love You.",2013-04-22,46,1,31,36,0,30,-6,F#/G♭ Minor,4,7brQHA2CgQpcMBiOlfiXYb,USSM11300889
52,"Cry Baby","The Neighbourhood",108,9A,66,2019-05-22,03:55,78,"","Wiped Out!",2015-10-30,58,0,0,34,0,10,-5,E Minor,4,0EfsDEYaSjGYd66Pr881nq,USSM11506744
53,"Baby Came Home","The Neighbourhood",113,8B,55,2019-05-22,03:46,51,"","I'm Sorry...",2013-05-08,64,2,0,28,0,10,-6,C Major,4,2Ww3E6lvG1zmWlWnMRak76,USSM11204646
54,"Wires","The Neighbourhood",73,6A,57,2019-05-22,03:13,64,"","I'm Sorry...",2013-05-08,57,0,10,27,0,30,-6,G Minor,4,5v8aEcHcaJIGYpfVVPtJjI,USSM11204648
55,"Staying Up","The Neighbourhood",176,10B,86,2019-05-22,04:28,57,"","I Love You.",2013-04-22,39,3,1,32,0,20,-4,D Major,4,1NA2NvAgCB4EfcBC8OHfuj,USSM11300897
56,"The Beach","The Neighbourhood",136,7A,64,2019-05-22,04:15,78,"","Wiped Out!",2015-10-30,25,13,0,11,0,0,-7,D Minor,4,2u0CelO5c81XS7z3dGpHbS,USSM11506746
57,"Low Life (feat. The Weeknd)","Future,The Weeknd",144,4B,33,2019-05-22,05:13,83,"rap, ","EVOL",2016-04-13,72,34,28,10,0,10,-8,G#/A♭ Major,4,7EiZI6JVHllARrX9PUvAdX,USSM11600557
58,"Black Skinhead","Kanye West",130,3B,81,2019-05-22,03:08,75,"rap","Yeezus",2013-06-18,77,0,0,33,20,10,-6,C♯/D♭ Major,4,722tgOgdIbNe3BEyLnejw4,USUM71307719
59,"Ni**as In Paris","JAŸ-Z,Kanye West",140,3B,86,2019-05-22,03:39,16,"hip hop, east coast hip hop, rap","Watch The Throne (Deluxe)",2011-08-08,79,13,0,78,30,30,-6,C♯/D♭ Major,4,4Li2WHPkuyCdtmokzW2007,USUM71111621
60,"I Hate Everyone","Get Set Go",157,2B,77,2019-05-22,03:33,32,"","Ordinary World",2006-01-17,38,42,0,65,0,20,-4,F#/G♭ Major,3,1Pn1Ndq0W9SUw1kPq0Jj68,US83Y0552636
61,"Apologize","OneRepublic",118,4B,74,2019-05-22,03:28,71,"soft pop","Dreaming Out Loud",2007-01-01,59,36,0,50,0,10,-6,G#/A♭ Major,4,1NrJYpdAi7uosDRPmSYrsG,USUM70757102
62,"Better That We Break","Maroon 5",80,8B,61,2019-05-22,03:06,36,"pop","It Won't Be Soon Before Long.",2007-01-01,52,31,0,38,0,10,-3,C Major,4,1EQoBUXD7EApSye8jmJTTg,USUM70731569
63,"Harder To Breathe","Maroon 5",150,12A,91,2019-05-22,02:53,57,"pop","Songs About Jane",2002-06-25,66,5,0,97,0,0,-5,C♯/D♭ Minor,4,2RjpDxBii8EvC6p6wxwCSz,USJAY0300079
64,"Goodnight Goodnight","Maroon 5",95,10B,70,2019-05-22,04:03,44,"pop","It Won't Be Soon Before Long.",2007-01-01,59,4,0,27,0,10,-4,D Major,4,0Bw6iiL5mYvq5I8VCaspqG,USUM70731565
65,"Mr. Jones","Counting Crows",142,8B,82,2019-05-22,04:32,81,"","August And Everything After",1993-09-14,58,18,0,73,0,20,-7,C Major,4,5DiXcVovI0FcY2s0icWWUu,USIR10000287
66,"Never Knew","The Rocket Summer",153,3A,79,2019-05-22,04:17,29,"pop punk","Hello, Good Friend.",2005-05-17,34,6,0,35,0,10,-5,A#/B♭ Minor,4,18KOzNZpwYVVGwQ16rg1bP,TCAAY1126906
67,"Not Falling Apart","Maroon 5",120,9B,71,2019-05-22,04:03,38,"pop","It Won't Be Soon Before Long.",2007-01-01,76,1,0,42,0,0,-5,G Major,4,6RFxg84B3wA2zUs9RrVOTZ,USUM70731566
68,"Tickets","Maroon 5",120,9A,84,2019-05-22,03:29,38,"pop","Overexposed (Deluxe)",2012-01-01,80,2,0,97,0,10,-4,E Minor,4,24QIrV8FsMKIPCjwmDkEyw,USUM71204787
69,"Total Eclipse of the Heart","Bonnie Tyler",131,4B,51,2019-05-22,06:58,0,"","Faster Than The Speed Of Night",1983-07-16,44,35,0,20,0,10,-13,G#/A♭ Major,4,45eF0AQGCTgkUJ3FoIYrbe,USSM18200470
70,"Save Tonight","Eagle-Eye Cherry",120,8B,69,2019-05-22,03:59,69,"","Desireless",1998-07-13,55,0,0,58,0,10,-9,C Major,4,1t2Hq2WIBcZINOEnK6mdJG,USSM10027246
