#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
213,"CHOKECHAIN","3OH!3",146,3B,83,2026-04-26,03:31,38,"","WANT (Deluxe)",2009-01-16,65,3,0,55,60,10,-5,C♯/D♭ Major,4,3dcn1aghjxES2RbuIxF4ea,USAT20802555
214,"POWER","Kanye West",154,5A,91,2026-04-26,04:52,82,"rap","My Beautiful Dark Twisted Fantasy",2010-11-22,54,2,0,58,10,70,-5,C Minor,4,2gZUPNdnz5Y45eiGxpHGSc,USUM71018220
215,"Amazing","Kanye West,Jeezy",146,4B,55,2026-04-26,03:58,67,"rap, southern hip hop, crunk, gangster rap","808s & Heartbreak",2008-11-24,59,22,12,50,0,0,-8,G#/A♭ Major,4,0m3Ze0cy8qBHSsV2exAfCw,USUM70846401
216,"No Church In The Wild","JAŸ-Z,Kanye West,Frank Ocean,The-Dream",93,1A,75,2026-04-26,04:32,80,"hip hop, east coast hip hop, rap, r&b","Watch The Throne",2011-08-08,65,24,2,56,10,10,-8,G#/A♭ Minor,4,7r6PigmGzlB3YPB7wvBBbi,USUM71111617
217,"I Write Sins Not Tragedies","Panic! At The Disco",170,8A,83,2026-04-26,03:06,78,"emo","A Fever You Can't Sweat Out",2005-09-27,57,8,0,61,10,10,-4,A Minor,4,4bPQs0PHn4xbipzdPfn6du,US56V0507710
218,"Everybody Wants Some!! - 2015 Remaster","Van Halen",145,4B,77,2026-04-26,05:06,52,"glam metal, classic rock, rock, hard rock","Women and Children First (Remastered)",1980-03-26,53,5,3,48,0,10,-8,G#/A♭ Major,4,5TnzOUFWoZHUEtOWlxrIlY,USWB11500295
219,"Hot for Teacher - 2015 Remaster","Van Halen",128,10B,95,2026-04-26,04:42,69,"glam metal, classic rock, rock, hard rock","1984 (Remastered)",1984-01-04,55,0,0,47,10,0,-5,D Major,4,6QDbGdbJ57Mtkflsg42WV5,USWB11403684
220,"Whole Lotta Love - 1990 Remaster","Led Zeppelin",90,11B,90,2026-04-26,05:33,78,"classic rock, rock, hard rock, rock and roll","Led Zeppelin II (1994 Remaster)",1969-10-22,41,5,13,42,40,40,-12,A Major,4,0hCB0YR03f6AmQaHbwWDe8,USAT29900471
221,"Mary Jane's Last Dance","Tom Petty and the Heartbreakers",170,6A,65,2026-04-26,04:33,80,"classic rock","Greatest Hits",2008-05-20,46,3,0,53,0,30,-9,G Minor,4,3dmqIB2Qxe2XZobw9gXxJ6,USMC19341704
222,"Roadhouse Blues","The Doors",121,11B,63,2026-04-26,04:03,75,"psychedelic rock, classic rock, acid rock","Morrison Hotel",1970-02-09,62,34,0,90,0,10,-8,A Major,4,1Q5kgpp4pmyGqPwNBzkSrw,USEE19900375
223,"Bad Company - 2015 Remaster","Bad Company",114,4B,47,2026-04-26,04:48,67,"classic rock, aor, southern rock, hard rock","Bad Company (Deluxe)",1974-00-00,55,49,18,44,0,0,-11,G#/A♭ Major,4,36vTL8WP4ZoD1bbUaW0V3E,USAT21405163
224,"Mother","Danzig",148,10A,76,2026-04-26,03:24,75,"horror punk","Danzig",1988-01-01,37,1,0,34,0,0,-9,B Minor,4,7txxAtOMwLLnQTpKeBL6bp,USSM18800169
225,"My Way","Limp Bizkit",97,2B,86,2026-04-26,04:32,81,"nu metal, rap metal, alternative metal, rap rock","Chocolate Starfish And The Hot Dog Flavored Water",2000-10-17,58,2,0,61,0,60,-4,F#/G♭ Major,4,2gSVKxPDww9Eep5rdvtdem,USIR10001177
226,"ELO Kiddies - Single Version","Cheap Trick",131,10A,92,2026-04-26,03:41,25,"power pop, aor, classic rock, glam rock","Cheap Trick",1977-02,55,0,52,72,0,60,-9,B Minor,4,3wgjswOVXLDV4JanfLCqwh,USSM19802504
227,"Big Eyes","Cheap Trick",128,9A,52,2026-04-26,03:09,30,"power pop, aor, classic rock, glam rock","In Color",1977-09,63,0,43,66,0,10,-10,E Minor,4,55y1iWRf5JBZQIbb69Vr7m,USSM19802520
228,"Surrender","Cheap Trick",134,8B,96,2026-04-26,04:15,69,"power pop, aor, classic rock, glam rock","Heaven Tonight",1978-04,52,1,0,87,0,60,-7,C Major,4,2ccUQnjjNWT0rsNnsBpsCA,USSM19802566
229,"I Want You to Want Me","Cheap Trick",93,10B,46,2026-04-26,03:11,67,"power pop, aor, classic rock, glam rock","In Color",1977-09,81,77,1,74,0,10,-13,D Major,4,1JkZg3eMQTmTn93E8Yd3UL,USSM19802522
230,"Gives You Hell","The All-American Rejects",100,12B,69,2026-04-26,03:33,71,"pop punk, emo","When The World Comes Down (International Version)",2008-00-00,72,2,0,55,0,0,-6,E Major,4,3HTLIvqe7MoSlsqw2DAynt,USUM70837368
231,"drop dead","Olivia Rodrigo",130,4B,74,2026-04-26,03:44,94,"","drop dead",2026-04-17,58,22,0,68,0,20,-6,G#/A♭ Major,4,6gkbtMtioHgtyGjrMel6ei,USUG12601721
232,"See You At The Bottom","Seether",166,9B,91,2026-04-26,03:38,33,"post-grunge, alternative metal, rock","Isolate And Medicate (Deluxe Edition)",2014-01-01,45,0,0,56,0,0,-5,G Major,4,7eEDnKfd16K7472wPfS3aP,QMFMK1400001
