#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
26,"Me and My Friends Are Lonely","Matt Maeson",74,5A,49,2026-01-13,03:00,51,"","Who Killed Matt Maeson",2017-03-31,67,6,0,49,10,10,-9,C Minor,4,1lLGOHbOgsrJ2tFQYKNK44,USAT21700419
27,"Grace Kelly","MIKA",122,8B,82,2026-01-13,03:07,61,"","Life in Cartoon Motion",2007-02-05,67,2,1,69,0,30,-6,C Major,4,7dzUZec5MnWMyQnk5klnKR,USC7R0600006
28,"One","Three Dog Night",124,3A,42,2026-01-13,03:02,50,"","The Best Of 3 Dog Night",1982-01-01,56,15,0,46,0,10,-13,A#/B♭ Minor,4,4KkGTqja19AHqItq3XBV3C,USMC16949737
29,"Heartbreak Hotel","Elvis Presley",94,12B,21,2026-01-11,02:10,57,"rockabilly, rock and roll","Elvis' Golden Records",1958-03-21,70,84,0,72,0,10,-12,E Major,4,6xNwKNYZcvgV3XTIwsgNio,USRC15602846
30,"I Fall In Love Too Easily","Chet Baker",129,5A,7,2026-01-11,03:21,68,"jazz, cool jazz, vocal jazz, jazz ballads","Chet Baker Sings",1956-00-00,53,94,0,29,0,0,-19,C Minor,4,0F845nujLVqCb0XMZCh5Pc,USBN28900070
31,"Solitude","Billie Holiday",98,4B,15,2026-01-11,03:27,67,"jazz, vocal jazz, big band, swing music","Solitude",1956-01-01,46,98,0,19,0,10,-14,G#/A♭ Major,3,30QD4VRP9yEneOh0eGTrtJ,USPR35200072
32,"In The Wee Small Hours Of The Morning - Remastered 1998","Frank Sinatra",118,8B,9,2026-01-11,03:00,59,"christmas, big band, adult standards, swing music, jazz, vocal jazz","In The Wee Small Hours",1955-00-00,29,86,0,7,0,10,-16,C Major,4,0Hsc0sIaxOxXBZbT3ms2oj,USCA29800105
33,"Fake Happy","Paramore",99,9B,63,2026-01-11,03:55,61,"pop punk, emo","After Laughter",2017-05-12,73,8,0,44,0,10,-6,G Major,4,6t44iU80A0h8WQ7vc4OoRj,USAT21700953
34,"Intermission","The Offspring",119,7A,68,2026-01-12,00:48,38,"punk, skate punk","Ixnay On The Hombre",1997-02-04,93,13,25,93,20,10,-9,D Minor,4,4HO82nSUQcLI6iXJDNR8Yz,USSM19603684
35,"Better By Myself","Hey Violet",97,11A,72,2026-01-11,03:14,45,"","Better By Myself",2019-04-12,70,6,0,89,0,10,-7,F#/G♭ Minor,4,77ixMBo91onYG37mAZiaUj,USUG11900503
36,"COPYCAT","Billie Eilish",125,9A,39,2026-01-12,03:14,74,"","dont smile at me",2017-12-22,68,35,0,23,0,30,-11,E Minor,4,5w7wuzMzsDer96KqxafeRK,USUM71707478
37,"Manic Pixie Dream Girl","ILUKA",130,9B,74,2026-01-12,03:39,28,"","Manic Pixie Dream Girl",2025-07-11,61,1,0,23,0,0,-5,G Major,4,2EkbykDiLsmMBL5I27RH5e,CAN112501294
38,"Bend and Snap","Annaleigh Ashford,Dequina Moore,Laura Bell Bundy,'Legally Blonde' Ensemble,Leslie Kritzer,Orfeh",125,11B,62,2026-01-12,03:20,52,"musicals","Legally Blonde The Musical (Original Broadway Cast Recording)",2007-07-16,81,45,0,68,40,60,-9,A Major,4,3BlC2zE57W5UDZfRIMs1Y6,USSK30720014
