#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
31,"The Best Deceptions","Dashboard Confessional",172,3B,40,2025-03-11,04:14,45,"emo, pop punk","The Places You Have Come to Fear the Most",2001-03-20,46,80,0,36,0,10,-9,C♯/D♭ Major,4,6yJl0W1IVV1DsTr0vfDY2e,USVR90235403
32,"End Of All Days","Thirty Seconds To Mars",98,5A,51,2025-03-11,04:46,39,"","LOVE LUST FAITH + DREAMS",2013-05-17,55,11,0,11,0,0,-10,C Minor,3,5aW4kes1vtZFKqfRiWUBbK,USVI21300026
33,"Rome","Phoenix",126,10B,68,2025-03-10,04:38,53,"indie","Wolfgang Amadeus Phoenix",2009-05-25,65,35,7,41,0,10,-7,D Major,4,5BBR5jxgXXKXNHyAAyhOQr,FR31Q0900007
34,"Handlebars","Flobots",142,7B,57,2025-03-11,03:26,65,"","Fight With Tools",2008-01-01,70,2,0,52,10,10,-7,F Major,4,6JH9yWhgbm0y9iAJhCslNc,USUM70810498
35,"Saints and Sailors","Dashboard Confessional",112,3B,74,2025-03-11,02:33,45,"emo, pop punk","The Places You Have Come to Fear the Most",2001-03-20,66,40,0,46,0,20,-6,C♯/D♭ Major,4,0kMMibKZeDcABgOWqY3LUm,USVR90235405
36,"Low Life","Crobot",76,2B,91,2025-03-11,03:36,48,"stoner rock","Motherbrain",2019-08-23,55,0,0,76,0,10,-5,F#/G♭ Major,4,3qsLiIMrQAq12sY3kWAoWm,NLB931902104
37,"Run For Cover","The Killers",165,7B,95,2025-03-11,03:42,62,"alternative rock","Wonderful Wonderful",2017-09-22,47,0,0,50,10,30,-3,F Major,4,5NAiPIEzxAexFE3ucV18Q8,USUM71707343
38,"Little Black Submarines - 2021 Remaster","The Black Keys",96,10B,49,2025-03-11,04:11,66,"blues rock, garage rock, modern blues, rock","El Camino (2021 Remaster)",2011-00-00,37,7,0,49,0,0,-8,D Major,4,3BR01wZsCALix7hnhZltGs,USNO12100179
39,"The Cave","Mumford & Sons",142,12B,49,2025-03-11,03:37,1,"folk, indie folk, folk rock","Sigh No More",2009-00-00,58,6,0,34,0,0,-9,E Major,4,3pLTOP0G0etiWUknFoRpsr,GBUM70909075
40,"The Mask","Matt Maeson",148,10B,59,2025-03-11,03:24,0,"","The Mask",2018-12-12,58,29,0,46,0,0,-7,D Major,3,6pYLOZFS1uZPmDFcj6OuMo,USAT21812693
41,"Beggar's Song","Matt Maeson",145,2B,46,2025-03-11,03:55,0,"","Beggar's Song",2019-02-15,45,60,0,27,0,0,-7,F#/G♭ Major,4,7riRkLUdLj0J8zwS6KtZIs,USAT21900734
42,"Push Off","The Palms",78,3A,52,2025-03-11,03:50,60,"","Push Off",2015-12-12,61,66,0,19,0,10,-7,A#/B♭ Minor,3,3869c1bl5bJqdD3cyDw8hh,TCACK1568634
43,"Suit and Jacket","Judah & the Lion",164,6B,58,2025-03-11,03:42,56,"folk pop, christian folk","Folk Hop n' Roll (Deluxe)",2016-03-04,45,22,0,11,0,10,-9,A#/B♭ Major,4,3ILLqwupo1Aa6PBNXxV4ey,QMGSG1700002
44,"Better for It","Foreign Air",80,1A,63,2025-03-11,04:41,0,"","For the Light",2016-09-23,53,11,1,15,0,10,-8,G#/A♭ Minor,4,6uMn0YHwWVAz5B0BgaBizM,TCACS1604782
45,"Cliffy","Matt Maeson",120,11A,46,2025-03-11,03:48,56,"","The Hearse",2018-04-27,72,28,0,7,0,0,-9,F#/G♭ Minor,4,5ULG2PLrYFHu2yan0Qutqe,USAT21801090
46,"7","Catfish and the Bottlemen",155,6B,71,2025-03-10,04:16,67,"indie, indie rock","The Ride",2016-05-27,53,0,0,28,0,10,-5,A#/B♭ Major,4,5ykbOijJEfRhuo2Td1m0Qd,GBUM71600834
47,"Facing My Fear","Cortes",168,11A,82,2025-03-11,03:21,27,"","Cortes",2017-09-25,42,0,0,66,0,30,-3,F#/G♭ Minor,4,5Wxs3gI1AD3TKjibyRQq3S,SE3OH1635319
48,"Caves","Jack's Mannequin",97,5B,61,2025-03-11,08:19,21,"pop punk","The Glass Passenger",2008-09-29,28,41,0,15,0,50,-8,D#/E♭ Major,4,6s65FXIP2qgBllZD65zKF9,USWB10804675
49,"The Resolution","Jack's Mannequin",188,10B,92,2025-03-11,03:05,42,"pop punk","The Glass Passenger",2008-09-29,37,0,0,49,0,0,-5,D Major,4,48Pi3H6sYU4Vp8dNs2DZSM,USWB10804674
50,"Free Fallin'","Tom Petty",84,7B,45,2025-03-11,04:16,80,"classic rock","Full Moon Fever",1989-01-01,62,21,0,57,0,0,-13,F Major,4,5tVA6TkbaAH9QMITTQRrNv,USMC18925673
51,"Cut Deep","Matt Maeson",160,9A,83,2025-03-11,02:56,51,"","Never Had to Leave",2022-08-26,58,57,0,60,10,0,-4,E Minor,4,2Y2nvGDYoKXihBx5KBIugX,USAT22207424
52,"Legacy","Matt Maeson",114,11B,65,2025-03-11,02:49,50,"","Bank On The Funeral",2019-04-05,62,1,0,55,10,30,-5,A Major,4,373CjBoI0zDFNIXm57NdOY,USAT21900733
53,"thank god","Christian French",136,11A,63,2025-03-11,02:39,29,"","The Space Between",2023-09-02,84,7,0,79,0,20,-6,F#/G♭ Minor,4,15605LNVSpT3Chvx8jWYm8,USRC12300416
54,"Radioactive","Imagine Dragons",136,11B,78,2025-03-15,03:06,74,"","Night Visions",2012-09-04,45,10,0,24,0,60,-4,A Major,4,4G8gkOterJn0Ywt6uhqbhp,USUM71201074
55,"Jailbreak","AC/DC",132,11B,84,2025-03-15,04:41,65,"rock, hard rock, classic rock, rock and roll","'74 Jailbreak",1984-10-15,57,1,1,59,0,0,-6,A Major,4,5UKeFkVeUfvP6S43I8s9mt,AUAP07600031
