#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
32,"The Sound of the American Way","Billy Simons Jr.",121,5B,32,2026-01-25,03:07,36,"","Now That We've Solved Everything",2025-05-30,54,80,0,55,0,10,-12,D#/E♭ Major,4,516mj7D78UNAynZRM08Hbc,TCAJQ2560032
33,"Make Me Buy A Gun","The Devil Said Jump",155,10B,35,2026-01-25,04:02,37,"","Make Me Buy A Gun",2025-07-04,39,12,0,55,0,10,-13,D Major,3,4nFURZBRIa9mOYkXi37yC1,QZTB62585662
34,"Gunz Come Out","50 Cent",90,2B,94,2026-01-27,04:24,54,"old school hip hop, east coast hip hop","The Massacre",2005-03-03,57,17,0,48,30,10,-2,F#/G♭ Major,4,3iAqQ5F0syAZz1cPGJUeMW,USIR10500276
35,"This Is America","Childish Gambino",120,7B,46,2026-01-26,03:45,69,"","This Is America",2018-05-06,85,12,0,55,10,30,-6,F Major,4,0b9oOr2ZgvyQu88wzixux9,USRC11801773
36,"American Hero","Rainbow Kitten Surprise",125,9A,53,2026-01-27,04:32,47,"","Seven + Mary",2013-11-13,70,4,0,17,0,0,-8,E Minor,4,6Ey1C21IUiGRBPOeal2qMc,TCABT1491604
37,"Civil War","Guns N' Roses",140,3A,79,2026-01-25,07:42,74,"rock, glam metal, hard rock, classic rock","Use Your Illusion II",1991-09-18,33,8,6,38,0,30,-9,A#/B♭ Minor,4,6i4Qi1mJxXjqNIL9HfJhRs,USGF19142001
38,"Courtesy Of The Red, White And Blue (The Angry American)","Toby Keith",112,10B,66,2026-01-25,03:15,75,"country, classic country","Unleashed",2002-01-01,42,52,0,39,0,0,-6,D Major,4,0M7mWKqwTIaVjYyxfZmtTa,USDW10200306
39,"No Kings In The USA","Ole! No Kings",97,5A,45,2026-01-25,02:36,35,"","No Kings In The USA",2025-05-16,74,10,0,88,0,30,-12,C Minor,4,5MfArL8YCCLNjYji8sRF5j,QZPLR2584350
40,"Fuck Trump","Black-D",82,3A,76,2026-01-25,03:26,32,"","Fuck Trump",2018-07-18,70,36,0,81,30,20,-8,A#/B♭ Minor,4,2aA1wWKOabOV9Pj7SnWs22,TCADS1873913
41,"Dictator Moves","Encore",94,3B,43,2026-01-25,02:46,29,"","Dictator Moves",2025-02-02,83,3,0,82,0,10,-12,C♯/D♭ Major,4,09wNPaOY1oEiOB7IVkfirp,USCGH2595805
42,"Release Them Epstein Files","Mr. Newberger",90,5B,89,2026-01-25,02:40,20,"","New Sh*T Sherlock",2025-09-13,74,48,0,70,20,60,-11,D#/E♭ Major,4,7xght5awDxL7k6ZwwpmVjm,QZZ7K2542108
