#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
112,"Stonecold","machineheart",94,9B,37,2025-03-04,03:40,0,"","Stonecold",2016-09-09,62,0,2,15,0,10,-7,G Major,4,7HiW7iuKc5AcEcS1NNhHqP,TCACR1648290
113,"Are You Happy Now?","Michelle Branch",180,4B,83,2025-03-04,03:50,58,"","Hotel Paper",2003-06-24,48,0,0,72,0,0,-5,G#/A♭ Major,4,5B7XIcS5T76NJZFOHX30Io,USMV20300061
114,"Apologize","Timbaland,OneRepublic",118,4B,58,2025-03-04,03:05,46,"soft pop","Dreaming Out Loud",2007-01-01,66,4,0,10,0,0,-6,G#/A♭ Major,4,77rlwv75irCcg50920G04u,USUM70722793
115,"I Don't Wanna Be In Love (Dance Floor Anthem)","Good Charlotte",125,2B,88,2025-03-04,04:04,66,"pop punk, punk, emo","Good Morning Revival",2007-03-27,64,2,0,57,0,10,-3,F#/G♭ Major,4,36UVZPoK8a1Oxh13cY8kOp,USSM10607447
116,"Headstrong","Trapt",185,9A,90,2025-03-04,04:46,77,"post-grunge","Trapt",2002-11-05,49,0,0,53,10,10,-6,E Minor,4,1AEYT6VxrxXPMoQUxsY0E4,USWB10201991
117,"Can't Be Saved","Senses Fail",170,10B,98,2025-03-04,03:07,63,"post-hardcore, screamo, emo, pop punk","Still Searching",2006-10-10,33,0,0,45,10,30,-3,D Major,4,3PHhctErNOXWqevrZDUyNy,USVR90643904
118,"Self Portrait","Surf Curse",152,10B,80,2025-03-04,03:32,32,"indie","Self Portrait",2022-09-07,58,5,1,65,0,10,-4,D Major,4,5IssEtH38Bs8vpGOoVnLlh,USAT22209048
119,"She Hates Me","Puddle Of Mudd",110,12B,75,2025-03-04,03:36,75,"post-grunge","Come Clean",2001-08-28,58,1,0,58,0,70,-5,E Major,4,16DhvbuyvJob4Q9GHNYu2n,USIR10110582
120,"I Hate Everyone","Get Set Go",157,2B,77,2025-03-04,03:33,32,"","Ordinary World",2006-01-17,38,42,0,65,0,20,-4,F#/G♭ Major,3,1Pn1Ndq0W9SUw1kPq0Jj68,US83Y0552636
121,"Teenage Dirtbag","Wheatus",95,12B,85,2025-03-04,04:01,85,"","Wheatus",1999-02-15,63,35,0,63,0,10,-4,E Major,4,25FTMokYEbEWHEdss5JLZS,USSM10008431
