#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
30,"Please Mr. Postman - Single Version / Mono","The Marvelettes",122,10B,78,2025-11-23,02:28,65,"motown, northern soul, doo-wop, classic soul","Please Mr. Postman",1961-00-00,79,73,0,97,0,10,-5,D Major,4,6jX5mso4x00c1EiNMrTU9U,USMO16100266
31,"In My Little Corner of the World","Anita Bryant,Lew Douglas And His Orchestra",113,8A,29,2025-11-23,02:30,18,"adult standards, ","On Rute 66",2014-02-15,53,73,0,42,0,10,-11,A Minor,4,1NAvZNIUfC79QACBJ7qhK0,QMDA71405496
32,"You're Driving Me Crazy","Guy Lombardo & His Royal Canadians",139,8B,12,2026-04-26,02:28,23,"christmas, big band","The Very Best Of",2010-03-01,61,99,74,54,0,0,-14,C Major,4,6MrLimrPVq6KAbcHOtOQ4A,USA371036198
33,"Gone With The Wind","Horace Heidt & His Brigadiers with Larry Cotton",142,5B,23,2026-04-26,02:56,6,"","Hits Collection 1937-45",2019-06-07,47,99,12,45,0,10,-9,D#/E♭ Major,4,1bg9N5o7BcDd2UKcD9KhSK,GBSUW1930869
34,"Ruin My Life","Census",120,11B,95,2026-04-26,04:05,38,"","Ruin My Life",2021-07-09,57,0,0,64,0,30,-3,A Major,4,0LoX60sC6J2xQ2kUaeqioX,QZHZ52185809
35,"Locked In A Cage","Brick + Mortar",83,7B,84,2026-04-26,03:16,48,"","Bangs",2013-01-01,56,5,2,36,0,30,-5,F Major,4,1Z4bpgy49F5P9mQrp29OVK,USUM71308353
36,"Wonderful","Everclear",187,9B,82,2026-04-26,04:40,60,"post-grunge, alternative rock","Songs From An American Movie: Learning How To Smile",2000-01-01,51,1,0,73,0,30,-6,G Major,4,0WHOPmOuQKuu05k4g3UTvk,USCA20000669
37,"ChatGPT","Juliette Irons",185,2B,90,2026-04-26,02:46,29,"","ChatGPT",2025-07-18,48,0,0,69,10,10,-4,F#/G♭ Major,4,3vdjMH1kkM0Q45EGAHrg1h,QZTB92586573
38,"Build And Destroy","Styx",127,8A,94,2026-04-26,03:52,25,"classic rock, aor, progressive rock","Build And Destroy",2025-05-28,57,1,0,44,0,20,-5,A Minor,4,37lctHJGpnrzHPluCe48S8,USUG12502074
39,"Madness","Muse",180,6B,42,2026-04-26,04:41,71,"alternative rock, rock","The 2nd Law",2012-09-24,50,13,0,22,0,10,-8,A#/B♭ Major,4,0c4IEciLCDdXEhhKxj4ThA,GBAHT1200390
40,"Skeleton Song","Kate Nash",112,11B,77,2026-04-26,05:07,36,"anti-folk","Made of Bricks",2007-01-01,48,20,0,48,0,40,-6,A Major,4,6gYzY4CIR667rZxQ6bfYTz,GBUM70706086
