#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
70,"Fiction","The xx",115,6A,36,2026-03-20,02:56,57,"","Coexist",2012-09-10,79,69,41,64,0,0,-14,G Minor,4,40Gp0YR5kj8vT7Z55YzTFM,GBBKS1200087
71,"Youth","Glass Animals",96,8A,72,2026-03-20,03:50,71,"","How To Be A Human Being",2016-08-26,65,13,0,79,0,10,-8,A Minor,4,1LPGwuFgIzbJoShfDdw7MY,GB2DY1600029
72,"Hazey - Dave Glass Animals Rework","Glass Animals,Rome Fortune",90,2B,59,2026-03-20,03:23,23,"","Remixes",2015-02-17,70,0,3,82,0,40,-8,F#/G♭ Major,4,6dcUhrdDyMgCYMrL7T3oMG,GB2DY1400386
73,"You're Mine","Phantogram",119,3A,77,2026-03-20,02:51,51,"","Three",2016-10-07,67,0,0,27,0,10,-6,A#/B♭ Minor,4,3rchbdfMJ48si8MqFRs6wP,USUM71605176
74,"Phenomena","Yeah Yeah Yeahs",157,10B,90,2026-03-20,04:10,38,"indie rock","Show Your Bones",2006-01-01,50,1,0,47,10,0,-5,D Major,4,63Kdr7jLTZxHr7MgjMiKmh,USUM70601053
75,"Gold Lion","Yeah Yeah Yeahs",159,11B,85,2026-03-20,03:07,53,"indie rock","Show Your Bones",2006-01-01,52,2,0,30,0,0,-3,A Major,4,6ttg1sxtU12beFZkjoc6j5,USUM70600433
76,"Way Out","Yeah Yeah Yeahs",117,9B,92,2026-03-20,02:51,34,"indie rock","Show Your Bones",2006-01-01,67,4,0,89,0,10,-4,G Major,4,6tmlwJjSw8QLZnBjwZ4Mej,USUM70601045
77,"Soft Shock","Yeah Yeah Yeahs",125,9B,81,2026-03-20,03:53,52,"indie rock","It's Blitz! (Deluxe Edition)",2009-03-06,60,0,57,74,0,10,-6,G Major,4,3fXx53m03IKoS5bRq3Xfq7,USUM70953073
78,"In The End","Snow Patrol",139,8B,82,2026-03-20,03:59,28,"","Fallen Empires",2011-01-01,43,1,1,17,0,60,-5,C Major,4,7pz9FnXkQd0MH9Ms3358Cj,GBUM71106136
79,"Just Say Yes","Snow Patrol",108,11B,88,2026-03-20,04:41,50,"","Greatest Hits",2013-01-01,54,2,0,26,0,0,-5,A Major,4,7EEpVPYeW8Ycaw2SlP1u7f,GBUM70911698
80,"Open Your Eyes","Snow Patrol",131,9B,78,2026-03-20,05:41,68,"","Eyes Open",2006-01-01,53,0,0,6,0,10,-6,G Major,4,5HPj0yTUFEFNia8SWgjq46,GBUM70600352
