Track_Number,Track_Key,Track_ID,Song,Artist,Album,Year,Distance,BPM,Valence,Energy,Dance,Key,Mood_Score,Key_Step
30,Y&T|Lipstick And Leather,1W1J4GG5A9bSrobVZcKW6H,Lipstick And Leather,Y&T,In Rock We Trust (Expanded Edition),1984,0.44068440853869234,136,65,96,51,12A,212,1
31,Dylan|Bad,4HaPoW6VbjC0iWBsuAmw5z,Bad,Dylan,Bad,2025,0.4492785141740783,139,71,79,59,1A,209,1
32,Gabe Lopez|Lasso,6LDQxzMiJdnUqnyJNX9LAx,Lasso,Gabe Lopez,Lasso,2017,0.44496997525233406,127,46,63,67,12A,176,1
33,WILLOW|curious/furious,27dTFzAAiUrJ2C2hxRcCd5,curious/furious,WILLOW,curious/furious,2022,0.4321853021661522,142,69,75,55,1A,199,1
34,The xx|Islands,6i5tYaGlOFDLILEB6HfJAa,Islands,The xx,xx,2009,0.45913182963782245,124,71,47,87,12B,205,2
35,O.A.R.|Love And Memories,0nDvTmQlCcJMIIrAzdy7z3,Love And Memories,O.A.R.,Stories Of A Stranger,2005,0.4680972402976568,122,66,71,65,12B,202,2
36,No Doubt|It's My Life,2fOxxLz9JVe53itq6pfBak,It's My Life,No Doubt,The Singles Collection,2003,0.43304216462257,126,77,75,61,1A,213,1
37,"50 Cent,Justin Timberlake,Timbaland|Ayo Technology",36Hwcla06Q5BCr59CL0sBp,Ayo Technology,"50 Cent,Justin Timberlake,Timbaland",Curtis,2007,0.4455223498581722,140,42,78,63,1A,183,1
38,"Jennifer Lopez,Pitbull|On The Floor",3C0nOe05EIt1390bVABLyN,On The Floor,"Jennifer Lopez,Pitbull",Love?,2011,0.449319957975252,130,57,78,73,2A,208,2
39,"Mike Shinoda,grandson|Running From My Shadow",3l3nnniXzq1lBqYeYEJb1H,Running From My Shadow,"Mike Shinoda,grandson",Running From My Shadow (feat. grandson),2018,0.4784471502949091,122,64,72,76,12A,212,1
40,Arcade Fire|The Suburbs,5iItYl3Q6wCnKVfpK1uNVf,The Suburbs,Arcade Fire,The Suburbs (Deluxe),2010,0.4798539345517803,118,54,69,62,11A,185,1
41,Catfish and the Bottlemen|Coincide,1Au3FoCGdYXtecmFc5s2l1,Coincide,Catfish and the Bottlemen,The Balance,2019,0.4903194112678799,140,44,86,50,11A,180,1
42,Matt Maeson|We Were The Same,7mYQgz9i2n0XHXoVUBFyHt,We Were The Same,Matt Maeson,We Were The Same,2020,0.5179993217625243,116,48,86,54,12A,188,1
43,Death Cab for Cutie|No Room in Frame,7DkTneByAopqOjXFG6XlZK,No Room in Frame,Death Cab for Cutie,Kintsugi,2015,0.5117248421241133,125,44,72,64,12B,180,2
44,"Say Hi|November Was White, December Was Grey",5lqy7Xku9Kz4sx7uqkFr1J,"November Was White, December Was Grey",Say Hi,Oohs & Aahs,2009,0.50131743688765,120,78,36,76,12B,190,2
45,Shout Out Louds|You Are Dreaming,6Pf14cErS6v5e0GiNhaAJd,You Are Dreaming,Shout Out Louds,Our Ill Wills,2007,0.5311415766027455,130,30,90,57,12B,177,2
46,Two Door Cinema Club|What You Know,4iZxeyibg6w4EFCOoAQ6Eh,What You Know,Two Door Cinema Club,Tourist History,2010,0.5177835578488922,139,81,76,56,11A,213,1
47,LeToya|She Ain't Got,0gAu6mBU7udA9NrfAzAAw2,She Ain't Got,LeToya,Lady Love (Explicit),2009,0.533746620332609,144,66,87,51,11A,204,1
48,"Ciara,Chamillionaire|Get Up",3rKCDtV8UcF0RytSiXxypc,Get Up,"Ciara,Chamillionaire",The Evolution,2006,0.5471365800432586,129,63,60,96,12A,219,1
49,Janet Jackson|Feedback,2K1MhduqSRF4Q2agqEtnEh,Feedback,Janet Jackson,Discipline,2008,0.5402316277076893,115,50,65,85,12A,200,1
50,Enrique Iglesias|Ring My Bells,5DbUPekbGprJNwubQHaFtU,Ring My Bells,Enrique Iglesias,Insomniac,2007,0.5516084024044918,115,43,63,82,11A,188,1
