Track_Number,Track_Key,Track_ID,Song,Artist,Album,Year,Distance,BPM,Valence,Energy,Dance,Key,Mood_Score,Key_Step
41,Elderbrook|Closer,4LKeqetwwD5v72sSrMv72X,Closer,Elderbrook,Closer,2016,0.49844163715622436,120,22,47,76,7A,145,2
42,The Neighbourhood|Baby Came Home,3ypXE4brttsQR3OLLZbLZB,Baby Came Home,The Neighbourhood,I'm Sorry...,2012,0.532923357729904,113,27,57,64,8B,148,1
43,The Neighbourhood|Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,I Love You.,2013,0.5052711777801142,124,40,81,61,6B,182,1
44,Transviolet|Bloodstream,5heAk2X8BG2BUHGfR08pn3,Bloodstream,Transviolet,Transviolet,2015,0.5222371161268029,120,16,61,62,7B,139,1
45,"Bebe Rexha,Ty Dolla $ign|Bad Bitch",4ZJPwET9Jrgpkqi4Vo3Yg8,Bad Bitch,"Bebe Rexha,Ty Dolla $ign",All Your Fault: Pt. 1,2017,0.5058966315583069,140,37,62,66,7B,165,1
46,Sabrina Carpenter|My Man on Willpower,3EMfeKtNK4q4k3sVjwg5Yy,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,2025,0.5431137405155885,120,43,78,61,6B,182,1
47,The Unlikely Candidates|Novocaine,2DKMINA8asTPUJz8Qu2CGK,Novocaine,The Unlikely Candidates,Panther Island,2022,0.5466500508208637,116,31,76,66,7A,173,2
48,"Elvis Drew,Avivian|Not Enough",0l3vdL2Hjm6nSkYWDDzcxn,Not Enough,"Elvis Drew,Avivian",Lapsus,2019,0.5469850087445062,134,23,46,75,9B,144,2
49,"SZA,Travis Scott|Love Galore",0q75NwOoFiARAVp4EXU4Bs,Love Galore,"SZA,Travis Scott",Ctrl,2017,0.5543609819538707,135,41,59,80,8B,180,1
50,Yeah Yeah Yeahs|Soft Shock - Acoustic Version,17RY9RzduTCpxZpwN0HtEW,Soft Shock - Acoustic Version,Yeah Yeah Yeahs,It's Blitz! (Deluxe Edition),2009,0.5617657029910175,113,55,48,51,9B,154,2
