Track_Number,Track_Key,Track_ID,Song,Artist,Album,Year,Distance,BPM,Valence,Energy,Dance,Key,Mood_Score,Key_Step
30,Bishop Briggs|White Flag,2ph6BRhGcUzc2W9wIulG5k,White Flag,Bishop Briggs,Church Of Scars,2018,0.6075456103066859,152,36,81,54,9A,171,1
31,X Ambassadors|Unconsolable,0jpoRHaMiyKNnCectzcXTv,Unconsolable,X Ambassadors,Love Songs Drug Songs,2013,0.599015173783415,151,34,61,67,11A,162,1
32,"T.I.,Eminem|That's All She Wrote",6XAA7T9VHcqKQSzjmXAJ8o,That's All She Wrote,"T.I.,Eminem",No Mercy,2010,0.6089731536454794,170,36,79,50,9B,165,3
33,"Webbie,Boosie Badazz,Lil Phat|Independent",0tdjTo4xacmmF7eINqaM8z,Independent,"Webbie,Boosie Badazz,Lil Phat",Savage Life 2,2008,0.676243630570081,174,20,43,73,12A,136,2
34,Spice Girls|Saturday Night Divas,3M83cWfWcFXtkavdM8NuEZ,Saturday Night Divas,Spice Girls,Spiceworld,1997,0.6377686434189636,169,58,68,63,10A,189,1
35,Sabrina Carpenter|Nobody’s Son,4SRShYMtFIGgnOU7iBicMH,Nobody’s Son,Sabrina Carpenter,Man’s Best Friend,2025,0.638475746843016,174,65,74,45,10B,184,2
36,Ella Langley|weren't for the wind,2A22iI0x4EYAVXNpKPhNEM,weren't for the wind,Ella Langley,still hungover,2024,0.616419920167874,152,45,80,47,11A,172,1
37,Rachel Platten|Fight Song,37f4ITSlgPX81ad2EvmVQr,Fight Song,Rachel Platten,Wildfire,2016,0.6614210350436307,176,33,71,56,9B,160,3
38,"U2,Green Day|The Saints Are Coming - Live from New Orleans",6pqZp2AGNR5IaUOjxwKcCe,The Saints Are Coming - Live from New Orleans,"U2,Green Day",The Saints Are Coming (Live),2006,0.6963988765709327,152,25,95,23,10A,143,1
39,Hoobastank|Out Of Control,166u1Cs46FmXoOaTGxh8aB,Out Of Control,Hoobastank,The Reason (20th Anniversary),2024,0.6882063762997321,158,46,97,44,9A,187,1
40,Matt Maeson|The Hearse,7siD4wJRiNcC4680aiqOZg,The Hearse,Matt Maeson,The Hearse,2018,0.6890767706995556,156,29,63,49,12A,141,2
